smooth_health_indicator,Unit,Timestep
1.0,1,1
1.01142892138132,1,2
1.0087396505969295,1,3
1.0116088999034931,1,4
1.0182016333011723,1,5
1.0271596149641424,1,6
1.0309003439459854,1,7
1.0262102791811827,1,8
1.0241530798116198,1,9
1.0173284385007673,1,10
1.0119083139470535,1,11
1.0156635798732558,1,12
1.0224305599692998,1,13
1.0196088865977428,1,14
1.0152694286296382,1,15
1.0184907691488447,1,16
1.0168167088738667,1,17
1.0125526070715865,1,18
1.0104474464691142,1,19
1.0134760601186419,1,20
1.012952161249049,1,21
1.0129683208019769,1,22
1.0052600425552005,1,23
1.0093391830496146,1,24
1.0071707372568985,1,25
0.9975274794292952,1,26
0.9907194973905589,1,27
0.9888277177058369,1,28
0.9894989057740304,1,29
0.9860705459465766,1,30
0.9902086749349934,1,31
0.9921513869608052,1,32
0.9919015918968557,1,33
0.985233321698777,1,34
0.9882963657416068,1,35
0.986796508905077,1,36
0.9852559562166516,1,37
0.9872491288349479,1,38
0.9882661763184228,1,39
0.9922931231472236,1,40
0.9939108119397089,1,41
0.9906830750525248,1,42
0.9919187414194806,1,43
0.9935646387763588,1,44
0.9879535890144586,1,45
0.9829700679658921,1,46
0.987715896142997,1,47
0.9831549155624382,1,48
0.9821013125423823,1,49
0.9834042070804114,1,50
0.9839333109465311,1,51
0.9837229882842604,1,52
0.9836605567146868,1,53
0.9793865786921607,1,54
0.9767220780683634,1,55
0.9725456748517038,1,56
0.964567512229389,1,57
0.9617135310401689,1,58
0.9596422996783988,1,59
0.9634223732953751,1,60
0.9580911434966519,1,61
0.9574556548155325,1,62
0.9596859620876096,1,63
0.9583103160818857,1,64
0.9589736964239977,1,65
0.9571556091410894,1,66
0.9608120248399231,1,67
0.9613806090540219,1,68
0.9626606638952822,1,69
0.9537812132616742,1,70
0.9453408656025645,1,71
0.9403456051814125,1,72
0.9383186687308759,1,73
0.9347412791083057,1,74
0.9331106693343232,1,75
0.9331932610546354,1,76
0.9360306700141389,1,77
0.9389411916937331,1,78
0.9389504259782181,1,79
0.9338719860514046,1,80
0.9249489717095881,1,81
0.9214473172008742,1,82
0.910003955152127,1,83
0.9034435083682469,1,84
0.8974172567700187,1,85
0.893839118578918,1,86
0.8971444741121896,1,87
0.8912098656760382,1,88
0.8875678725894949,1,89
0.8768093220601395,1,90
0.8801453939920594,1,91
0.8771803767646538,1,92
0.8775502272164044,1,93
0.8741740510120244,1,94
0.8735426645583042,1,95
0.8688554499354144,1,96
0.8601172678497628,1,97
0.8527448368577606,1,98
0.8477923766649437,1,99
0.8386334324380241,1,100
0.8337139384209683,1,101
0.8295953222573353,1,102
0.8278975485831093,1,103
0.8277677420251296,1,104
0.8158726045833444,1,105
0.8150702332732149,1,106
0.8097667211052104,1,107
0.7973860140698222,1,108
0.7956531204654224,1,109
0.7804988232113838,1,110
0.7814615491982653,1,111
0.7695053949321972,1,112
0.7650217702947004,1,113
0.7595458354300095,1,114
0.7536181860666407,1,115
0.7387166427759071,1,116
0.7290078306990455,1,117
0.7174521934603586,1,118
0.710852367309529,1,119
0.7035558803462794,1,120
0.7020760801768786,1,121
0.6902087597748748,1,122
0.6887341151738573,1,123
0.6757944583733764,1,124
0.6642986004141778,1,125
0.6604047502395616,1,126
0.651998149252414,1,127
0.6363804200240284,1,128
0.6280466425413649,1,129
0.6142631207276781,1,130
0.601904346923258,1,131
0.589166622703619,1,132
0.5818368812566717,1,133
0.5739490885584246,1,134
0.5578709519296197,1,135
0.54243860309754,1,136
0.5391509727568684,1,137
0.52769981411537,1,138
0.521067722303725,1,139
0.5138838206032079,1,140
0.5078062132829722,1,141
0.4986280535506189,1,142
0.4984691226094278,1,143
0.48474896511230203,1,144
0.47758590560303693,1,145
0.47139113434661484,1,146
0.46590389152894995,1,147
0.4506205206720123,1,148
0.4452877431208293,1,149
1.0,2,1
0.9962837794252928,2,2
0.9952549253448109,2,3
0.9981097845427158,2,4
0.9962357193319618,2,5
0.996359727919768,2,6
0.996048845089911,2,7
0.9986529898979173,2,8
0.9932159790917354,2,9
0.9908682255376879,2,10
0.9929730929206422,2,11
0.9912503313947334,2,12
0.996104820281019,2,13
0.9958170074413797,2,14
0.9945998359297921,2,15
0.9910182387554087,2,16
0.9909188578495307,2,17
0.9947697761290506,2,18
0.9935883047220149,2,19
0.990273373885304,2,20
0.9915773303559077,2,21
0.9861018771201919,2,22
0.9904313289805955,2,23
0.987937656223957,2,24
0.9817169737881426,2,25
0.9869535174866926,2,26
0.982354391514149,2,27
0.9865518359204173,2,28
0.985594125235824,2,29
0.9882044921529147,2,30
0.988045635195629,2,31
0.9842693929570245,2,32
0.9851980539985659,2,33
0.9826941992925269,2,34
0.9850805837976238,2,35
0.9840778448925769,2,36
0.9812866976603816,2,37
0.9807084219736089,2,38
0.9843825755653861,2,39
0.9856890249765178,2,40
0.9842971051503802,2,41
0.9820377517108136,2,42
0.9846458759720718,2,43
0.976404175356258,2,44
0.9838265271693929,2,45
0.9905580306372663,2,46
0.9862529566137206,2,47
0.98843575349043,2,48
0.9857939977071677,2,49
0.9796865911748809,2,50
0.9797064961868793,2,51
0.9810210758097642,2,52
0.9816213474177327,2,53
0.9822018355257203,2,54
0.982670165460084,2,55
0.9818011123401884,2,56
0.9862574385035308,2,57
0.9881297743782396,2,58
0.982913114120276,2,59
0.9755952576218465,2,60
0.9751618698963131,2,61
0.9779499773903852,2,62
0.9767424079622782,2,63
0.9792111507587224,2,64
0.9831299652045489,2,65
0.9793200350198343,2,66
0.9769414976896769,2,67
0.9753189763830914,2,68
0.9763582597216243,2,69
0.9721955160741049,2,70
0.9737160043574569,2,71
0.9725928044304872,2,72
0.9696832277513945,2,73
0.969748594186463,2,74
0.9674039024875956,2,75
0.9684841275084979,2,76
0.9667269902186575,2,77
0.9571225516829251,2,78
0.956759442008579,2,79
0.9623281486574802,2,80
0.9619348657709974,2,81
0.9543374335366095,2,82
0.952616681576977,2,83
0.9513211157373909,2,84
0.9477451137017265,2,85
0.9451271017518685,2,86
0.9416028291415262,2,87
0.9400637088578199,2,88
0.9413048786874176,2,89
0.9381752044927765,2,90
0.93976077378919,2,91
0.9418237844366415,2,92
0.9407381567386486,2,93
0.9434018921793106,2,94
0.9399549463516752,2,95
0.9398909877493085,2,96
0.9363169334295138,2,97
0.9404383842062587,2,98
0.9433064733433312,2,99
0.9421094723360997,2,100
0.9402715908398784,2,101
0.9368835790466878,2,102
0.9362480641835607,2,103
0.9374160542244274,2,104
0.9361800411329988,2,105
0.935671732516514,2,106
0.9367021501656561,2,107
0.9331096214539374,2,108
0.9230564933484817,2,109
0.9129319373149234,2,110
0.9144927598668418,2,111
0.9074449825070725,2,112
0.9070254035871632,2,113
0.9097817152017857,2,114
0.9101328399098472,2,115
0.9083370840490306,2,116
0.9099659480282221,2,117
0.9097053087819962,2,118
0.8932610759739614,2,119
0.8916252124705504,2,120
0.8867296597966225,2,121
0.8875188255535691,2,122
0.8892927977820841,2,123
0.8870683073899384,2,124
0.8871716053235081,2,125
0.8852003582569479,2,126
0.8849299753288666,2,127
0.8829027950576711,2,128
0.8883307044251336,2,129
0.8933111016397577,2,130
0.8976397593506868,2,131
0.8968297662674853,2,132
0.900131089140026,2,133
0.8896500708397244,2,134
0.8852701280556219,2,135
0.8783353897198172,2,136
0.8744642509020379,2,137
0.8696395196305446,2,138
0.867648579296586,2,139
0.8776792504593889,2,140
0.8792578140827629,2,141
0.8862415758087012,2,142
0.881324681219557,2,143
0.8782545923686775,2,144
0.8827897228061508,2,145
0.8768058402376551,2,146
0.8730878957531738,2,147
0.8719471442886833,2,148
0.8695235396567951,2,149
0.8613619059089666,2,150
0.858262031840876,2,151
0.8567381724476344,2,152
0.8554750195578478,2,153
0.854275058020413,2,154
0.8603488982614289,2,155
0.8557386314897952,2,156
0.8540017874827934,2,157
0.8514277773154746,2,158
0.8481759550595509,2,159
0.8432819641319924,2,160
0.8373692069825274,2,161
0.8349340043161253,2,162
0.8307062736175106,2,163
0.8332918975216612,2,164
0.8352656378762287,2,165
0.8292061881309787,2,166
0.8210918177669784,2,167
0.8189683358481363,2,168
0.808589812406862,2,169
0.8061168939112504,2,170
0.8037634725632503,2,171
0.8053297992076738,2,172
0.7988935008182416,2,173
0.7971904047949676,2,174
0.7938591493575513,2,175
0.7832385872713523,2,176
0.7763662597814605,2,177
0.7770604271967199,2,178
0.7854862629023835,2,179
0.7876287876769956,2,180
0.7886062190812138,2,181
0.787554896337467,2,182
0.7792336794189962,2,183
0.7747026277169411,2,184
0.7640555634288362,2,185
0.7651070884438738,2,186
0.7669304883611965,2,187
0.7656694487632958,2,188
0.7625160841204859,2,189
0.7640937212964705,2,190
0.7589098883388161,2,191
0.7525066653089156,2,192
0.7496286287657048,2,193
0.7496998627586844,2,194
0.736727089727538,2,195
0.7292736524770247,2,196
0.7319541627924913,2,197
0.7321113554228011,2,198
0.7235144432030995,2,199
0.7105939383234026,2,200
0.7030459222478405,2,201
0.7009038353650476,2,202
0.7011318263186346,2,203
0.7036482306518046,2,204
0.6963706426262672,2,205
0.6971615849038995,2,206
0.6799128776728744,2,207
0.6707059792368972,2,208
0.6707380001580943,2,209
0.6700030986763372,2,210
0.6703875021633954,2,211
0.6655121775339432,2,212
0.6628712634171914,2,213
0.6603033098839717,2,214
0.655944947951218,2,215
0.6602936317581489,2,216
0.6554638787090368,2,217
0.6536066533976566,2,218
0.6496943538564193,2,219
0.6503747194235003,2,220
0.6453418061510692,2,221
0.6446522400815913,2,222
0.636152991995087,2,223
0.6265919344913569,2,224
0.6172712910360281,2,225
0.6136607341587703,2,226
0.6026734779854948,2,227
0.6035057397026178,2,228
0.6017137684381393,2,229
0.59774305985334,2,230
0.5934477579724544,2,231
0.5864274117655341,2,232
0.5838958601698572,2,233
0.5815193370875753,2,234
0.571098104762845,2,235
